2017-08-16 15:49:33 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@132a2f7e, receiver=Remoting connection EJB receiver [connection=Remoting connection <281758db>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID cdbdd4b0 (outbound) of Remoting connection 788975f8 to localhost/127.0.0.1:8080
2017-08-16 15:50:47 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:50:47 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@4820b49a, receiver=Remoting connection EJB receiver [connection=Remoting connection <3611279a>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 9b6254ef (outbound) of Remoting connection 2abc9dd8 to localhost/127.0.0.1:8080
2017-08-16 16:07:21 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:07:21 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@36b90136, receiver=Remoting connection EJB receiver [connection=Remoting connection <7b543509>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID cb813d9e (outbound) of Remoting connection 44e59345 to localhost/127.0.0.1:8080
2017-08-16 16:08:03 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:08:03 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@2346d522, receiver=Remoting connection EJB receiver [connection=Remoting connection <1a1349ad>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID aa5af39a (outbound) of Remoting connection 7c2a893d to localhost/127.0.0.1:8080
2017-08-16 16:10:34 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:10:34 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@e868297, receiver=Remoting connection EJB receiver [connection=Remoting connection <23ab1b03>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID a5b3356e (outbound) of Remoting connection 425479cd to localhost/127.0.0.1:8080
2017-08-16 16:12:16 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:12:16 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@1bbf6ad5, receiver=Remoting connection EJB receiver [connection=Remoting connection <496ee705>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID c509049b (outbound) of Remoting connection 7ee1d7c1 to localhost/127.0.0.1:8080
2017-08-16 16:14:29 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:14:29 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@7dbb5cf7, receiver=Remoting connection EJB receiver [connection=Remoting connection <4dc1394f>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 941a6ab9 (outbound) of Remoting connection 74abe7ef to localhost/127.0.0.1:8080
2017-08-16 16:14:40 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:14:40 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@50c55f99, receiver=Remoting connection EJB receiver [connection=Remoting connection <41bc1e74>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 8e192b64 (outbound) of Remoting connection 11eb73bf to localhost/127.0.0.1:8080
2017-08-16 16:15:05 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:15:05 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@18d06a1e, receiver=Remoting connection EJB receiver [connection=Remoting connection <7087017c>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID f109a8f2 (outbound) of Remoting connection 59f14f1b to localhost/127.0.0.1:8080
2017-08-16 16:15:16 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 16:15:16 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@c33376, receiver=Remoting connection EJB receiver [connection=Remoting connection <9d44893>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID fac60462 (outbound) of Remoting connection 0ddea35a to localhost/127.0.0.1:8080
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID e968b869 (outbound) of Remoting connection 4560d031 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID c6425213 (outbound) of Remoting connection 4eaffc57 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 941a6ab9 (outbound) of Remoting connection 74abe7ef to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 9b6254ef (outbound) of Remoting connection 2abc9dd8 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 16:16:33 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID fff7d432 (outbound) of Remoting connection 2705b593 to localhost/127.0.0.1:8080 can no longer process messages
